#Iteration center.0 center.1 sigma.0 sigma.1 height
320000 -1.6949566 -0.24175167 0.3 0.3 0.3
321000 -1.2742534 -1.0564685 0.3 0.3 0.3
322000 -1.2940661 -0.37861459 0.3 0.3 0.3
323000 -1.9251737 -1.0041839 0.3 0.3 0.3
324000 -1.000285 -0.44956901 0.3 0.3 0.3
325000 -1.265271 -0.55395486 0.3 0.3 0.3
326000 -1.5716806 -0.5063597 0.3 0.3 0.3
327000 -1.1699065 -0.58304012 0.3 0.3 0.3
328000 -1.0741229 -0.77386819 0.3 0.3 0.3
329000 -1.7881869 -0.17349023 0.3 0.3 0.3
330000 -1.7638808 0.48079141 0.3 0.3 0.3
331000 -2.4930832 0.77634879 0.3 0.3 0.3
332000 -2.3116309 1.7764805 0.3 0.3 0.3
333000 -2.0538815 0.39268088 0.3 0.3 0.3
334000 -2.252533 0.2255252 0.3 0.3 0.3
335000 -2.4537263 0.76759257 0.3 0.3 0.3
336000 -2.1297169 1.2482893 0.3 0.3 0.3
337000 -2.0235186 2.0076747 0.3 0.3 0.3
338000 -0.4129571 1.6063149 0.3 0.3 0.3
339000 -0.81857112 2.4111656 0.3 0.3 0.3
340000 -2.4308119 -3.0542902 0.3 0.3 0.3
341000 -2.2628446 1.6481713 0.3 0.3 0.3
342000 -1.9414677 0.86893327 0.3 0.3 0.3
343000 -2.3778898 0.90501594 0.3 0.3 0.3
344000 -2.9967525 1.4438161 0.3 0.3 0.3
345000 -2.5155059 1.2054678 0.3 0.3 0.3
346000 -2.582399 0.7633989 0.3 0.3 0.3
347000 -2.2351126 1.7790735 0.3 0.3 0.3
348000 -2.254497 0.79305397 0.3 0.3 0.3
349000 -2.0052614 0.28812214 0.3 0.3 0.3
350000 -2.6412274 0.73333417 0.3 0.3 0.3
351000 -1.7562326 0.46594844 0.3 0.3 0.3
352000 -1.2132375 -0.88683726 0.3 0.3 0.3
353000 -1.324919 -0.87760853 0.3 0.3 0.3
354000 -2.3697417 -0.34658462 0.3 0.3 0.3
355000 -1.3539703 -1.2724703 0.3 0.3 0.3
356000 -1.1144714 -0.90964865 0.3 0.3 0.3
357000 -1.6851423 -1.1053474 0.3 0.3 0.3
